USERID,OPENID,IP,TIME
104587,oKdjLwlE3PF-4EHyta2BMMcTGJN4,14.157.40.230,2016-08-07 11:34:11
104576,orFHpwJpIOE0Pi2iLzTt-Gwcfby4,113.8.68.104,2016-08-07 11:34:02
104582,orFHpwIMFpikaLAsJJ28LQmfy770,183.202.93.201,2016-08-07 11:34:01
104584,oKdjLwv-7EqbKfGhXjO37aPqN0Ug,183.202.94.1,2016-08-07 11:34:00
104583,orFHpwG-RtpNn_JcViqgIIqW8Vww,39.68.254.179,2016-08-07 11:33:55
104579,orFHpwBCANNjVAiFpYkriq-ZBJe0,117.136.4.92,2016-08-07 11:33:45
104580,orFHpwFBcw3dIm3I-yzPOf6izBiM,183.202.148.222,2016-08-07 11:33:37
104573,oKdjLwsvsAocvD3_9BY9uMGj1DM4,113.8.68.104,2016-08-07 11:33:36
104572,oKdjLwiQvyEYRjhlYkE0H6JnOJ_U,39.68.254.179,2016-08-07 11:33:35
104575,orFHpwCGKKANvaa5VkJc-LNzuhEo,14.157.40.230,2016-08-07 11:33:28
104570,oKdjLwpt2GKnfL9COcWPJ4zZWxNo,118.73.20.126,2016-08-07 11:33:26
66763,orFHpwPHdqfi3QTdfPzuSyy4v5iM,1.69.39.148,2016-08-07 11:33:14
104543,orFHpwHYx7nZf9cWZ62LXlEGTaPU,121.27.145.120,2016-08-07 11:33:08
104562,orFHpwLeMSU5IviyLLEWS1UFqVFc,113.8.68.104,2016-08-07 11:32:56
104564,oKdjLwpx2CD_3823V-cxQbLgXoGg,42.232.121.255,2016-08-07 11:32:55
104554,oKdjLwmCZMifSzjrW8z6s2c6Ypo8,39.68.254.179,2016-08-07 11:32:46
104558,orFHpwMFUdqsipEgb0Al6bKN7kqU,43.225.237.180,2016-08-07 11:32:46
104559,oKdjLwpGTF1hnx3UD6Zb2CmPE6yo,110.243.154.217,2016-08-07 11:32:45
104563,oKdjLwuRIz4bMuVGaEJtusH6Huac,36.149.225.206,2016-08-07 11:32:45
104560,oKdjLwhU2YnomRBEJ_4KrLLkF_H4,183.186.74.83,2016-08-07 11:32:37
104556,oKdjLwod2mPpcUoOpbcBCW_H3H60,1.63.20.191,2016-08-07 11:32:34
104546,orFHpwAp-jHxOxt8XwdJfJkw2cGM,118.73.20.126,2016-08-07 11:32:32
69751,orFHpwGvW7FWLJqJYS1V7Cr-xEKM,42.232.121.255,2016-08-07 11:32:30
104396,orFHpwG2gv3SjCZnnk8XW3SkhOTw,39.68.254.179,2016-08-07 11:32:20
104493,oKdjLwvjxmOei_XXaAJ4ac0F5gQk,113.3.163.2,2016-08-07 11:32:19
104548,orFHpwICQVzjvX0IWJwvM-BYDfiI,183.186.74.83,2016-08-07 11:32:11
104534,orFHpwBCr1B4J8PEy1ZS7kpenHr4,110.243.154.217,2016-08-07 11:32:08
104547,orFHpwBofjuumnf8M7tzRmzUnVmE,43.225.237.244,2016-08-07 11:31:57
104533,oKdjLwqUMU7rgbSWASZw9nhh0XrA,39.68.254.179,2016-08-07 11:31:30
104537,oKdjLwnHlK58uL5kjjfA49XvQHqQ,121.25.192.162,2016-08-07 11:31:30
104538,oKdjLwlajvx2gkKZBHMuw2ZGDPR4,118.81.240.2,2016-08-07 11:31:22
104535,oKdjLws0e0oT_iEdCXA7I9YkiOUc,180.212.201.81,2016-08-07 11:31:22
66750,orFHpwO-g1AA6RV3EgArwi1XrZZM,183.186.47.221,2016-08-07 11:31:19
66748,orFHpwHb8AbRW4Km4340MPhcZEjc,182.204.197.32,2016-08-07 11:31:18
104523,oKdjLwqiD5AvMLQbgLI5TF9RVmj4,14.157.40.230,2016-08-07 11:31:16
104527,oKdjLwkSzKBdU4mGG4jpxdH_UQuQ,60.3.25.5,2016-08-07 11:31:11
104521,oKdjLwv6f46_YFpFgt49D7AF-CIY,223.14.104.31,2016-08-07 11:31:05
104528,orFHpwGydNqWcoAUptrrCQJQYRuI,36.149.225.206,2016-08-07 11:31:03
104531,oKdjLwvNPYhnMBmnaxV12l3CTmWI,218.61.246.233,2016-08-07 11:31:00
66759,orFHpwCeKAHUmPK7CMf19XH5G3Ck,180.212.201.81,2016-08-07 11:30:54
104526,orFHpwBWCOURsyuEtzuwOL4_XDVg,223.10.218.49,2016-08-07 11:30:54
104520,oKdjLwjPbQOMqIh_2cIvdQqFmaCM,111.41.238.181,2016-08-07 11:30:38
